username,repo_name,repo_url,repo_stars
mrdoob,three.js,https://github.com/mrdoob/three.js,87700
libgdx,libgdx,https://github.com/libgdx/libgdx,20900
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,20800
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,19000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,15500
aframevr,aframe,https://github.com/aframevr/aframe,14900
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,14200
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,12800
CesiumGS,cesium,https://github.com/CesiumGS/cesium,9700
metafizzy,zdog,https://github.com/metafizzy/zdog,9500
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8500
isl-org,Open3D,https://github.com/isl-org/Open3D,7800
blender,blender,https://github.com/blender/blender,7300
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7300
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5900
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,5300
openscad,openscad,https://github.com/openscad/openscad,5200
google,model-viewer,https://github.com/google/model-viewer,5100
spritejs,spritejs,https://github.com/spritejs/spritejs,5100
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4800
