username,repo_name,repo_url,repo_stars
public-apis,public-apis,https://github.com/public-apis/public-apis,221000
neovim,neovim,https://github.com/neovim/neovim,60700
tiangolo,fastapi,https://github.com/tiangolo/fastapi,52700
strapi,strapi,https://github.com/strapi/strapi,50700
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,49000
ocornut,imgui,https://github.com/ocornut/imgui,44000
slatedocs,slate,https://github.com/slatedocs/slate,34800
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,31500
hasura,graphql-engine,https://github.com/hasura/graphql-engine,28900
ccxt,ccxt,https://github.com/ccxt/ccxt,26700
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,26500
Kong,insomnia,https://github.com/Kong/insomnia,25600
YMFE,yapi,https://github.com/YMFE/yapi,25500
httpie,httpie,https://github.com/httpie/httpie,25300
encode,django-rest-framework,https://github.com/encode/django-rest-framework,24700
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22700
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,21000
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20600
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,20400
PostgREST,postgrest,https://github.com/PostgREST/postgrest,19600
