username,repo_name,repo_url,repo_stars
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,11200
bitwarden,server,https://github.com/bitwarden/server,11200
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10800
abpframework,abp,https://github.com/abpframework/abp,9200
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,7800
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6500
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5700
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5600
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2500
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2500
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2300
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2200
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2100
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1100
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,725
riganti,dotvvm,https://github.com/riganti/dotvvm,646
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,631
