username,repo_name,repo_url,repo_stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,242000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,160000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,157000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,150000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,83700
kdn251,interviews,https://github.com/kdn251/interviews,58900
azl397985856,leetcode,https://github.com/azl397985856/leetcode,50100
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,49400
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,41900
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,34200
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,28700
huihut,interview,https://github.com/huihut/interview,26900
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26900
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,26700
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,24200
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,22600
keon,algorithms,https://github.com/keon/algorithms,22000
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,20700
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,20400
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,17000
