username,repo_name,repo_url,repo_stars
localstack,localstack,https://github.com/localstack/localstack,45200
serverless,serverless,https://github.com/serverless/serverless,43900
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,34900
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,24400
pulumi,pulumi,https://github.com/pulumi/pulumi,14600
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13300
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13300
aws,aws-cli,https://github.com/aws/aws-cli,13300
mozilla,sops,https://github.com/mozilla/sops,11600
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,11000
serverless-stack,sst,https://github.com/serverless-stack/sst,10400
apereo,cas,https://github.com/apereo/cas,9900
caprover,caprover,https://github.com/caprover/caprover,9700
aws,aws-cdk,https://github.com/aws/aws-cdk,9600
aws,chalice,https://github.com/aws/chalice,9400
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,9200
angristan,openvpn-install,https://github.com/angristan/openvpn-install,9200
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9100
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8900
google,go-cloud,https://github.com/google/go-cloud,8700
