username,repo_name,repo_url,repo_stars
flutter,flutter,https://github.com/flutter/flutter,148000
facebook,react-native,https://github.com/facebook/react-native,107000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,97900
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,74500
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,59500
google,material-design-icons,https://github.com/google/material-design-icons,47000
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,44900
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,44500
square,okhttp,https://github.com/square/okhttp,43300
android,architecture-samples,https://github.com/android/architecture-samples,42000
square,retrofit,https://github.com/square/retrofit,40900
dcloudio,uni-app,https://github.com/dcloudio/uni-app,37500
fastlane,fastlane,https://github.com/fastlane/fastlane,36200
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,35900
laurent22,joplin,https://github.com/laurent22/joplin,33600
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33500
bumptech,glide,https://github.com/bumptech/glide,33200
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,33200
skylot,jadx,https://github.com/skylot/jadx,32700
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,31700
