username,repo_name,repo_url,repo_stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,97900
angular,angular,https://github.com/angular/angular,85600
storybookjs,storybook,https://github.com/storybookjs/storybook,75600
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,53700
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,48400
prettier,prettier,https://github.com/prettier/prettier,44500
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,31900
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,31200
angular,angular-cli,https://github.com/angular/angular-cli,25900
angular,components,https://github.com/angular/components,23200
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,22000
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20200
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,19800
pubkey,rxdb,https://github.com/pubkey/rxdb,18600
teambit,bit,https://github.com/teambit/bit,16200
nrwl,nx,https://github.com/nrwl/nx,15800
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15400
wailsapp,wails,https://github.com/wailsapp/wails,13300
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,13200
linnovate,mean,https://github.com/linnovate/mean,12200
