username,repo_name,repo_url,repo_stars
ansible,ansible,https://github.com/ansible/ansible,55800
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,34900
trailofbits,algo,https://github.com/trailofbits/algo,26600
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22900
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,20300
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13300
ansible,awx,https://github.com/ansible/awx,11700
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8700
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,6500
khuedoan,homelab,https://github.com/khuedoan/homelab,6400
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,6000
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5500
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5100
rundeck,rundeck,https://github.com/rundeck/rundeck,4800
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4500
clong,DetectionLab,https://github.com/clong/DetectionLab,4000
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3800
ansible-community,molecule,https://github.com/ansible-community/molecule,3500
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3400
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3300
