username,repo_name,repo_url,repo_stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,231000
vinta,awesome-python,https://github.com/vinta/awesome-python,151000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,113000
avelino,awesome-go,https://github.com/avelino/awesome-go,93300
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,85300
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,66600
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,62500
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,59500
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,56300
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,52200
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,48500
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,46700
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,44900
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,44600
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,44500
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,42500
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,42500
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,41400
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,38600
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,36300
