username,repo_name,repo_url,repo_stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,34900
microsoft,recommenders,https://github.com/microsoft/recommenders,14700
pulumi,pulumi,https://github.com/pulumi/pulumi,14600
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13300
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12500
mozilla,sops,https://github.com/mozilla/sops,11600
caprover,caprover,https://github.com/caprover/caprover,9700
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8800
google,go-cloud,https://github.com/google/go-cloud,8700
infracost,infracost,https://github.com/infracost/infracost,8400
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,7100
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7000
node-formidable,formidable,https://github.com/node-formidable/formidable,6500
midwayjs,midway,https://github.com/midwayjs/midway,6300
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5700
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5400
budtmo,docker-android,https://github.com/budtmo/docker-android,5200
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,5000
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,5000
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4600
