username,repo_name,repo_url,repo_stars
babel,babel,https://github.com/babel/babel,41700
swc-project,swc,https://github.com/swc-project/swc,25300
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24700
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21700
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,20600
avajs,ava,https://github.com/avajs/ava,20200
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15200
grab,front-end-guide,https://github.com/grab/front-end-guide,14700
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11400
grommet,grommet,https://github.com/grommet/grommet,8100
developit,htm,https://github.com/developit/htm,8000
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,6700
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5600
insin,nwb,https://github.com/insin/nwb,5500
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
egoist,poi,https://github.com/egoist/poi,5300
fkling,astexplorer,https://github.com/fkling/astexplorer,5200
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4800
babel,babel-loader,https://github.com/babel/babel-loader,4700
