username,repo_name,repo_url,repo_stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,123000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,63400
junegunn,fzf,https://github.com/junegunn/fzf,48800
google,zx,https://github.com/google/zx,35500
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,32700
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,31700
starship,starship,https://github.com/starship/starship,31400
koalaman,shellcheck,https://github.com/koalaman/shellcheck,30900
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,29700
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28600
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,25900
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,22300
withfig,autocomplete,https://github.com/withfig/autocomplete,20900
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,16900
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,16300
rbenv,rbenv,https://github.com/rbenv/rbenv,14700
shelljs,shelljs,https://github.com/shelljs/shelljs,13600
powerline,powerline,https://github.com/powerline/powerline,13600
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13300
faressoft,terminalizer,https://github.com/faressoft/terminalizer,13200
