username,repo_name,repo_url,repo_stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,67500
ccxt,ccxt,https://github.com/ccxt/ccxt,26700
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,20200
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17800
askmike,gekko,https://github.com/askmike/gekko,9900
solana-labs,solana,https://github.com/solana-labs/solana,9800
bbfamily,abu,https://github.com/bbfamily/abu,9500
dvf,blockchain,https://github.com/dvf/blockchain,7200
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,6600
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6400
spesmilo,electrum,https://github.com/spesmilo/electrum,6100
butor,blackbird,https://github.com/butor/blackbird,5700
btcsuite,btcd,https://github.com/btcsuite/btcd,5100
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4800
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4500
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4400
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,4200
bisq-network,bisq,https://github.com/bisq-network/bisq,4200
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,4100
