username,repo_name,repo_url,repo_stars
ccxt,ccxt,https://github.com/ccxt/ccxt,26700
discordjs,discord.js,https://github.com/discordjs/discord.js,21500
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,20500
hubotio,hubot,https://github.com/hubotio/hubot,16300
RasaHQ,rasa,https://github.com/RasaHQ/rasa,15300
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,14900
wechaty,wechaty,https://github.com/wechaty/wechaty,14400
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12800
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12300
Rapptz,discord.py,https://github.com/Rapptz/discord.py,12000
leon-ai,leon,https://github.com/leon-ai/leon,11600
howdyai,botkit,https://github.com/howdyai/botkit,10900
botpress,botpress,https://github.com/botpress/botpress,10000
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9300
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,8400
microsoft,ailab,https://github.com/microsoft/ailab,7200
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7000
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6700
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,6600
