username,repo_name,repo_url,repo_stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,160000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,84200
azl397985856,leetcode,https://github.com/azl397985856/leetcode,50100
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,42500
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,39600
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,34200
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,29100
huihut,interview,https://github.com/huihut/interview,26900
microsoft,calculator,https://github.com/microsoft/calculator,26400
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,25600
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,23200
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,22600
doocs,leetcode,https://github.com/doocs/leetcode,19600
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,19500
ethereum,solidity,https://github.com/ethereum/solidity,19100
microsoft,vcpkg,https://github.com/microsoft/vcpkg,17400
gabime,spdlog,https://github.com/gabime/spdlog,16500
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,16400
catchorg,Catch2,https://github.com/catchorg/Catch2,16000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,15500
