username,repo_name,repo_url,repo_stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,74500
neovim,neovim,https://github.com/neovim/neovim,60700
git,git,https://github.com/git/git,44600
obsproject,obs-studio,https://github.com/obsproject/obs-studio,43800
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,42500
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,33500
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,33300
vim,vim,https://github.com/vim/vim,29200
curl,curl,https://github.com/curl/curl,27800
huihut,interview,https://github.com/huihut/interview,26900
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24400
pbatard,rufus,https://github.com/pbatard/rufus,21200
mpv-player,mpv,https://github.com/mpv-player/mpv,21000
ossrs,srs,https://github.com/ossrs/srs,20300
ruby,ruby,https://github.com/ruby/ruby,19800
google,flatbuffers,https://github.com/google/flatbuffers,19500
oracle,graal,https://github.com/oracle/graal,18000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,17400
radareorg,radare2,https://github.com/radareorg/radare2,17300
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,17000
