username,repo_name,repo_url,repo_stars
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,32100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,22300
refined-github,refined-github,https://github.com/refined-github/refined-github,19900
darkreader,darkreader,https://github.com/darkreader/darkreader,15600
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14600
unbug,codelf,https://github.com/unbug/codelf,13300
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,10500
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10100
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9800
dailydotdev,daily,https://github.com/dailydotdev/daily,9700
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,9400
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8000
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,7900
wong2,chat-gpt-google-extension,https://github.com/wong2/chat-gpt-google-extension,7200
Kenshin,simpread,https://github.com/Kenshin/simpread,6600
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,6100
AutomaApp,automa,https://github.com/AutomaApp/automa,6000
alyssaxuu,omni,https://github.com/alyssaxuu/omni,5800
dessant,buster,https://github.com/dessant/buster,5500
manojVivek,medium-unlimited,https://github.com/manojVivek/medium-unlimited,5100
