username,repo_name,repo_url,repo_stars
electron,electron,https://github.com/electron/electron,105000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,81300
microsoft,playwright,https://github.com/microsoft/playwright,45900
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,38900
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,32100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,22300
ovity,octotree,https://github.com/ovity/octotree,22300
segmentio,nightmare,https://github.com/segmentio/nightmare,19300
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14600
google,WebFundamentals,https://github.com/google/WebFundamentals,13600
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,11300
casesandberg,react-color,https://github.com/casesandberg/react-color,11100
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10100
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9800
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,9200
chromedp,chromedp,https://github.com/chromedp/chromedp,8500
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,6800
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6700
