username,repo_name,repo_url,repo_stars
ovity,octotree,https://github.com/ovity/octotree,22300
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,9900
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5800
danger,danger,https://github.com/danger/danger,5000
danger,danger-js,https://github.com/danger/danger-js,4800
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3700
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2100
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2000
houndci,hound,https://github.com/houndci/hound,1900
mbj,mutant,https://github.com/mbj/mutant,1900
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1800
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1500
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1300
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1300
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1200
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1100
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,858
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,846
enlightn,enlightn,https://github.com/enlightn/enlightn,725
palantir,policy-bot,https://github.com/palantir/policy-bot,574
