username,repo_name,repo_url,repo_stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,154000
junegunn,fzf,https://github.com/junegunn/fzf,48800
sharkdp,bat,https://github.com/sharkdp/bat,38700
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,37900
google,zx,https://github.com/google/zx,35500
wagoodman,dive,https://github.com/wagoodman/dive,35000
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,34900
chubin,cheat.sh,https://github.com/chubin/cheat.sh,34200
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,31600
cli,cli,https://github.com/cli/cli,30800
spf13,cobra,https://github.com/spf13/cobra,30000
n8n-io,n8n,https://github.com/n8n-io/n8n,27100
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,25900
angular,angular-cli,https://github.com/angular/angular-cli,25900
sharkdp,fd,https://github.com/sharkdp/fd,25700
httpie,httpie,https://github.com/httpie/httpie,25300
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,25000
tqdm,tqdm,https://github.com/tqdm/tqdm,23600
google,python-fire,https://github.com/google/python-fire,23500
vercel,pkg,https://github.com/vercel/pkg,22500
