username,repo_name,repo_url,repo_stars
vercel,next.js,https://github.com/vercel/next.js,98100
rust-lang,rust,https://github.com/rust-lang/rust,75800
sveltejs,svelte,https://github.com/sveltejs/svelte,64200
webpack,webpack,https://github.com/webpack/webpack,62200
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,53900
JetBrains,kotlin,https://github.com/JetBrains/kotlin,43400
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,41700
babel,babel,https://github.com/babel/babel,41700
evanw,esbuild,https://github.com/evanw/esbuild,34200
vlang,v,https://github.com/vlang/v,31100
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,29100
markedjs,marked,https://github.com/markedjs/marked,28800
swc-project,swc,https://github.com/swc-project/swc,25300
vercel,pkg,https://github.com/vercel/pkg,22500
v8,v8,https://github.com/v8/v8,20600
ziglang,zig,https://github.com/ziglang/zig,19000
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,15000
nim-lang,Nim,https://github.com/nim-lang/Nim,14300
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13400
RustPython,RustPython,https://github.com/RustPython/RustPython,13000
