username,repo_name,repo_url,repo_stars
localstack,localstack,https://github.com/localstack/localstack,45200
harness,drone,https://github.com/harness/drone,26200
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,20100
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12600
theonedev,onedev,https://github.com/theonedev/onedev,10500
openshift,origin,https://github.com/openshift/origin,8200
dagger,dagger,https://github.com/dagger/dagger,7300
concourse,concourse,https://github.com/concourse/concourse,6700
gocd,gocd,https://github.com/gocd/gocd,6700
buildbot,buildbot,https://github.com/buildbot/buildbot,5000
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,4900
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4300
ovh,cds,https://github.com/ovh/cds,4100
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3800
hygieia,hygieia,https://github.com/hygieia/hygieia,3700
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,3700
iterative,cml,https://github.com/iterative/cml,3600
cake-build,cake,https://github.com/cake-build/cake,3500
werf,werf,https://github.com/werf/werf,3400
